Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP,Date
0,0,1610612739,1610612741,0,2024,2,28,0.0,0.0,0.5205843293492696,0.9589041095890412,1.0231919247188586,267,150,125,211,1709078400,2024-02-28
0,0,1610612739,1610612765,0,2024,3,1,0.0,0.0,0.5205843293492696,0.904109589041096,2.181514708551873,267,150,125,211,1709251200,2024-03-01
0,0,1610612739,1610612752,0,2024,3,3,0.0,0.0,0.5205843293492696,0.9178082191780822,1.616880961004469,267,150,125,211,1709424000,2024-03-03
0,0,1610612739,1610612738,0,2024,3,5,0.0,0.0,0.5205843293492696,0.8767123287671232,-2.6898252638052043,267,150,125,211,1709596800,2024-03-05
0,0,1610612739,1610612737,0,2024,3,6,0.0,0.0,0.5205843293492696,0.7123287671232876,-2.550609157572609,267,150,125,211,1709683200,2024-03-06
0,0,1610612739,1610612750,0,2024,3,8,0.0,0.0,0.5205843293492696,0.8904109589041096,-2.8902213117228115,267,150,125,211,1709856000,2024-03-08
0,0,1610612739,1610612751,0,2024,3,10,0.0,0.0,0.5205843293492696,0.6849315068493151,-1.953579871385827,267,150,125,211,1710028800,2024-03-10
0,0,1610612739,1610612756,0,2024,3,11,0.0,0.0,0.5205843293492696,0.8082191780821918,-2.154082724432911,267,150,125,211,1710115200,2024-03-11
0,0,1610612739,1610612740,0,2024,3,13,0.0,0.0,0.5205843293492696,0.7397260273972603,-3.299998507841295,267,150,125,211,1710288000,2024-03-13
0,0,1610612739,1610612745,0,2024,3,16,0.0,0.0,0.5205843293492696,0.9315068493150684,-3.470037961194833,267,150,125,211,1710547200,2024-03-16
0,0,1610612739,1610612754,0,2024,3,18,0.0,0.0,0.5205843293492696,0.9315068493150684,-1.943955302179873,267,150,125,211,1710720000,2024-03-18
0,0,1610612739,1610612748,0,2024,3,20,0.0,0.0,0.5205843293492696,0.8356164383561644,1.4461063131171414,267,150,125,211,1710892800,2024-03-20
0,0,1610612739,1610612750,0,2024,3,22,0.0,0.0,0.5205843293492696,0.8904109589041096,-2.8902213117228115,267,150,125,211,1711065600,2024-03-22
0,0,1610612739,1610612748,0,2024,3,24,0.0,0.0,0.5205843293492696,0.8356164383561644,1.4461063131171414,267,150,125,211,1711238400,2024-03-24
0,0,1610612739,1610612766,0,2024,3,25,0.0,0.0,0.5205843293492696,0.8493150684931507,-0.1422262986423703,267,150,125,211,1711324800,2024-03-25
0,0,1610612739,1610612766,0,2024,3,27,0.0,0.0,0.5205843293492696,0.8493150684931507,-0.1422262986423703,267,150,125,211,1711497600,2024-03-27
0,0,1610612739,1610612755,0,2024,3,29,0.0,0.0,0.5205843293492696,0.904109589041096,-1.6873785212351464,267,150,125,211,1711670400,2024-03-29
0,0,1610612739,1610612743,0,2024,3,31,0.0,0.0,0.5205843293492696,0.8356164383561644,-3.303871451720425,267,150,125,211,1711843200,2024-03-31
0,0,1610612739,1610612762,0,2024,4,2,0.0,0.0,0.5205843293492696,0.8904109589041096,-1.367942101838736,267,150,125,211,1712016000,2024-04-02
0,0,1610612739,1610612756,0,2024,4,3,0.0,0.0,0.5205843293492696,0.8082191780821918,-2.154082724432911,267,150,125,211,1712102400,2024-04-03
0,0,1610612739,1610612747,0,2024,4,6,0.0,0.0,0.5205843293492696,0.9178082191780822,-1.8433078691099496,267,150,125,211,1712361600,2024-04-06
0,0,1610612739,1610612746,0,2024,4,7,0.0,0.0,0.5205843293492696,0.863013698630137,-3.4240584329349275,267,150,125,211,1712448000,2024-04-07
0,0,1610612739,1610612763,0,2024,4,10,0.0,0.0,0.5205843293492696,0.904109589041096,0.741010422514222,267,150,125,211,1712707200,2024-04-10
0,0,1610612739,1610612754,0,2024,4,12,0.0,0.0,0.5205843293492696,0.9315068493150684,-1.943955302179873,267,150,125,211,1712880000,2024-04-12
0,0,1610612739,1610612766,0,2024,4,14,0.0,0.0,0.5205843293492696,0.8493150684931507,-0.1422262986423703,267,150,125,211,1713052800,2024-04-14
0,0,1610612742,1610612739,0,2024,2,27,0.0,0.0,0.4849726775956284,0.9589041095890412,0.478561165175364,212,177,143,200,1708992000,2024-02-27
0,0,1610612742,1610612761,0,2024,2,28,0.0,0.0,0.4849726775956284,0.8493150684931507,-1.1807996732578516,212,177,143,200,1709078400,2024-02-28
0,0,1610612742,1610612738,0,2024,3,1,0.0,0.0,0.4849726775956284,0.8767123287671232,-2.21126409862984,212,177,143,200,1709251200,2024-03-01
0,0,1610612742,1610612755,0,2024,3,3,0.0,0.0,0.4849726775956284,0.7808219178082192,-1.2088173560597824,212,177,143,200,1709424000,2024-03-03
0,0,1610612742,1610612754,0,2024,3,5,0.0,0.0,0.4849726775956284,0.6986301369863014,-1.465394137004509,212,177,143,200,1709596800,2024-03-05
0,0,1610612742,1610612748,0,2024,3,7,0.0,0.0,0.4849726775956284,0.904109589041096,1.9246674782925053,212,177,143,200,1709769600,2024-03-07
0,0,1610612742,1610612765,0,2024,3,9,0.0,0.0,0.4849726775956284,0.9178082191780822,2.660075873727237,212,177,143,200,1709942400,2024-03-09
0,0,1610612742,1610612741,0,2024,3,11,0.0,0.0,0.4849726775956284,0.8767123287671232,1.5017530898942226,212,177,143,200,1710115200,2024-03-11
0,0,1610612742,1610612744,0,2024,3,13,0.0,0.0,0.4849726775956284,0.863013698630137,-5.76489511722194,212,177,143,200,1710288000,2024-03-13
0,0,1610612742,1610612760,0,2024,3,14,0.0,0.0,0.4849726775956284,0.5205479452054795,-1.6929719054407286,212,177,143,200,1710374400,2024-03-14
0,0,1610612742,1610612743,0,2024,3,17,0.0,0.0,0.4849726775956284,0.6438356164383562,-2.825310286545061,212,177,143,200,1710633600,2024-03-17
0,0,1610612742,1610612759,0,2024,3,19,0.0,0.0,0.4849726775956284,0.6849315068493151,-0.6323421972729761,212,177,143,200,1710806400,2024-03-19
0,0,1610612742,1610612762,0,2024,3,21,0.0,0.0,0.4849726775956284,0.4931506849315068,-0.8893809366633718,212,177,143,200,1710979200,2024-03-21
0,0,1610612742,1610612762,0,2024,3,25,0.0,0.0,0.4849726775956284,0.4931506849315068,-0.8893809366633718,212,177,143,200,1711324800,2024-03-25
0,0,1610612742,1610612758,0,2024,3,26,0.0,0.0,0.4849726775956284,0.9315068493150684,-1.8582591725214712,212,177,143,200,1711411200,2024-03-26
0,0,1610612742,1610612758,0,2024,3,29,0.0,0.0,0.4849726775956284,0.9315068493150684,-1.8582591725214712,212,177,143,200,1711670400,2024-03-29
0,0,1610612742,1610612745,0,2024,3,31,0.0,0.0,0.4849726775956284,0.6438356164383562,-2.991476796019469,212,177,143,200,1711843200,2024-03-31
0,0,1610612742,1610612744,0,2024,4,2,0.0,0.0,0.4849726775956284,0.863013698630137,-5.76489511722194,212,177,143,200,1712016000,2024-04-02
0,0,1610612742,1610612737,0,2024,4,4,0.0,0.0,0.4849726775956284,0.9315068493150684,-2.072047992397245,212,177,143,200,1712188800,2024-04-04
0,0,1610612742,1610612744,0,2024,4,5,0.0,0.0,0.4849726775956284,0.863013698630137,-5.76489511722194,212,177,143,200,1712275200,2024-04-05
